NOM_ENT,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM_2020
Aguascalientes,Aguascalientes, 948 990,1.644737773,20.3672204,0.1047987,0.11316904,0.378609666,10.33952999,0.5914338,7.523683074,54.22659412,60.2778113
Aguascalientes,Asientos, 51 536,3.526405451,33.90636439,2.650372648,0.486447571,0.858160307,22.94230461,1.352429508,78.22104936,78.56547123,56.50520307
Aguascalientes,Calvillo, 58 250,4.49150907,42.48244984,0.365177249,0.516760258,0.800978399,19.21985817,1.040410652,51.30128755,79.25977654,57.01735858
Aguascalientes,Cosío, 17 000,3.144867339,27.69674548,0.712854955,0.5773536,0.659832685,22.71686554,1.030988571,65.47058824,81.72636894,57.07315643
Aguascalientes,Jesús María, 129 929,2.38058754,26.69247715,0.277033962,0.354957444,0.860425814,16.40457535,1.312651927,37.16414349,56.74875338,58.97081805
Aguascalientes,Pabellón de Arteaga, 47 646,2.732338666,25.72428031,0.541337546,0.425487098,1.0447604,19.07595444,0.705634544,32.76455526,64.33501116,58.58382961
Aguascalientes,Rincón de Romos, 57 369,3.445916842,27.09434273,0.965870247,0.501341,1.027223167,20.97550201,1.302663184,44.28524116,76.64397175,57.60576474
Aguascalientes,San José de Gracia, 9 552,2.439772902,28.41994033,2.107139113,0.922528567,1.708774505,21.57275009,0.859628892,41.30025126,75.41093593,57.4866092
Aguascalientes,Tepezalá, 22 485,4.235218509,35.08627758,1.385041551,0.585291752,1.085693861,22.98573875,1.429720311,76.76228597,76.94355698,56.56344709
Aguascalientes,El Llano, 20 853,3.898421414,34.75771316,2.321130631,1.030523113,1.78133281,21.81678581,1.452546864,69.75495133,76.33609202,56.51490855
Aguascalientes,San Francisco de los Romo, 61 997,2.35876249,28.46614532,0.186041997,0.31869803,0.456207332,18.50740814,0.73612684,41.1197316,65.87116587,58.51117274
Baja California,Ensenada, 443 807,2.287974263,25.2439324,0.346371547,1.410373794,4.574524681,13.80881977,1.717626105,13.5700879,79.43185671,58.04130416
Baja California,Mexicali,1 049 792,1.618302815,21.50144404,0.155113203,0.396584104,0.676314093,12.58808804,1.226286533,11.39454292,69.89562509,59.34403227
Baja California,Tecate, 108 440,1.950223796,27.29646454,0.336795935,0.974162661,3.234807468,14.01496696,1.63512283,20.40483217,74.02471315,58.34914375
Baja California,Tijuana,1 922 523,1.469749611,24.58387871,0.156099942,0.184236546,1.159384922,14.9725647,2.14702319,1.704114853,74.59246912,59.09933253
Baja California,Playas de Rosarito, 126 890,2.02917194,29.73713236,0.313293405,0.443460784,5.010253239,15.40960503,2.686312019,15.75537867,72.77342617,58.25049793
Baja California,San Quintín, 117 568,8.122046081,47.242461,0.523168266,5.493985441,16.80764101,31.07445717,4.436871816,54.39830566,65.78243119,53.35813662
Baja California Sur,Comondú, 73 021,4.083670764,32.33020608,0.520638094,1.291182473,1.552195704,16.13560295,2.940563955,19.63955574,62.55451077,58.22285118
